STIMULUS NAME,SIMILAR IN COLOR,SIMILAR IN SHAPE,
Hat,"Yellow-Fuscia Leaves, Butterfly, Flame, Holey Sphere, Sun, Spiky Spiral, Chrysanthemum, Orange",,
Ball,"Rainbow1, Rainbow2, Rainbow3, Rainbow 4, Rainbow5 Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Purple Sphere, Puff, Kaleidoscope, Holey Sphere 2, Holey Sphere, Distorted Sphere, Marbled Purple, Spherical, Sun, RebelSymbol, HyperSphere, ChainBall",
Yellow-Fuscia Leaves,"Hat, Butterfly, Flame, Holey Sphere, Sun, Spiky Spiral, Chrysanthemum, Orange, Crystal Spiral, Staircase, PinkShell, PinkBlossoms, Spiral Inception, Blue Flower",Autumnal Leaves,
Purple Sphere,"Two Spirals, Purple Spiral, Purple Snowflake, Purple Flower, Holey Sphere, Marbled Purple, RebelSymbol, Flower, Spherical","Ball, Puff, Kaleidoscope, Holey Sphere 2, Holey Sphere, Distorted Sphere, Marbled Purple, Spherical, Sun, RebelSymbol, HyperSphere, ChainBall",
Rainbow1,"Rainbow2, Rainbow3, Rainbow 4, Rainbow5, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Rainbow2, Rainbow3, Rainbow4, Rainbow5",
Rainbow2,"Rainbow1, Rainbow3, Rainbow 4, Rainbow5, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Rainbow1, Rainbow3, Rainbow4, Rainbow5",
Rainbow3,"Rainbow1, Rainbow2, Rainbow 4, Rainbow5, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Rainbow1, Rainbow2, Rainbow4, Rainbow5",
Rainbow4,"Rainbow1, Rainbow2, Rainbow 3, Rainbow5, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Rainbow1, Rainbow2, Rainbow3, Rainbow5",
Rainbow5,"Rainbow1, Rainbow2, Rainbow 3, Rainbow4, Ball, Puff, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Rainbow1, Rainbow2, Rainbow3, Rainbow4",
Jellyfish,"Ammonoid, BlueFlame, Flower, Geometric Flower, Blade, Two Spirals, Hexagonal, Kaleidoscope, Spiral Inception, Lace Doily, Holey Sphere 2, Blue Flower, Feather, Ice",Blue Flame,
Puff,"Rainbow1, Rainbow2, Rainbow3, Rainbow 4, Rainbow5, Ball, Hexagon Shards, Rainbow Synth, Overlapping Circles, Wing, RainbowSplash, Shell, HyperSphere, ChainBall","Ball, Purple Sphere, Kaleidoscope, Holey Sphere 2, Holey Sphere, Distorted Sphere, Marbled Purple, Spherical, Sun, RebelSymbol, HyperSphere, ChainBall",
